Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bulgaria,BGR,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,-2149.176465,-2138.534473,-2172.206152,-2489.043164,-3151.564355,-3044.909375,-3239.093066,-3084.568457,47.87578125,583.3577148,534.9701953,441.5276563,-115.9592187,-292.4764062,-615.7463379,-407.0979004,-486.2508105,-1120.791367,14.24181641,8.5234375,-8363.293945,-4139.804443,-4730.720459,-5060.341309,-5181.469482,-4950.474854,-5460.962891,-3080.526611,-2398.109863,-3134.889893,-3661.003174,-2922.278564,-2811.692871,-4495.513428,-3450.277588,-3796.478027,-3891.801758,-4038.571045,-3394.663574,-2348.002563,-3038.418457,-3183.801758,-7040.598145,-6756.753296,-7532.198853,-8189.005981,-7702.909424,,,,,,,
Bahrain,BHR,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,46.2023761,168.8249023,1507.163799,1281.091541,1454.857919,1435.080367,1509.075833,1500.770693,1519.736363,1567.033614,1570.250067,1621.920249,2112.671113,1302.432289,2185.453982,2159.32336,1917.871597,2153.716066,1899.882072,1933.578101,-2085.186035,-2164.032257,-751.2955933,121.7531128,401.9969788,473.0749664,650.2039032,201.7432709,513.1272278,419.6700897,726.6071625,510.6737823,519.2312775,792.3501434,3583.332855,5008.773148,7057.583267,4945.018692,7443.765762,7018.314072,7983.924759,7803.979477,8513.861801,9263.854187,9861.824158,9078.718903,8391.615723,,,,,,,
"Bahamas, The",BHS,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,666.2397224,,,,,,,,,,,2614.556819,2355.953552,2356.733967,2043.133321,1388.890872,997.280298,829.9929267,861.7324257,842.80509,-795.6059685,-627.340857,332.5997801,18.14698267,-216.8764544,-506.449585,-933.9989185,-1040.726182,-413.1747837,-278.8741536,-199.4985819,-304.2380071,-174.9492335,-512.3594022,-635.0033712,-709.5617204,-796.5090041,-950.5403581,-981.0059457,2900.351118,-1291.830777,-1249.607045,-35.19782877,-938.6722744,-1480.928069,-1908.530528,-2144.246589,,,,,,,
Bosnia and Herzegovina,BIH,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,3161.130078,3400.33028,2668.275299,2885.765686,3623.749255,-566.7453613,-419.1587646,-210.684436,744.2239502,843.1268433,4435.927161,-4361.143823,-2935.568811,-1395.118518,-2087.137122,-1788.296252,-2876.720483,-1852.675537,1796.121704,-289.9809326,-476.8958435,-435.5622559,-192.6511841,-140.7572937,-79.66981506,-63.92124939,-88.55596924,-64.51928711,-60.81634521,-90.91781616,11.36819458,-9.12689209,35.16546631,-8.067871094,-161.1395264,-302.1009521,-482.3059082,-497.3795166,-526.1091309,-613.0128174,-892.4125977,-820.3464355,-2160.197388,-2137.498779,-4700.196777,-5645.154175,-3144.119263,,,,,,,
Belarus,BLR,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,44324.92373,44291.55283,44225.89365,43600.03662,43156.15977,45932.10801,47174.06094,48211.74023,49368.19385,50259.50439,51859.66973,50049.37625,47988.15064,45960.6543,44214.85936,42184.45725,39855.59391,39524.63633,45766.17656,46961.42016,-8312.702148,-8077.603516,-6367.707031,-5094.609863,-4780.127441,-4655.828125,-4562.03125,-4344.191895,-4509.572754,-4615.984863,-4817.660645,-4766.015625,-4887.22998,-4690.112793,-6658.609863,-6955.21582,-9131.778809,-7231.152832,-7099.310547,-7827.101563,-8944.121094,-7542.040039,-7006.105469,-7266.849609,-7290.169434,-4759.132813,-7365.668945,,,,,,,
Belize,BLZ,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,-90.11529183,-86.08466502,-100.8588735,-100.4817131,-106.0452313,-111.0589158,-86.7114245,-115.1006367,-127.2246422,-112.9856286,-148.3225755,39.30567406,40.54361147,85.97981942,69.22920188,-12.36751911,-67.26953462,-113.9794361,-158.6773585,-172.6557765,-169.2927693,-100.966125,0.72279048,-8.182443142,-35.39510405,-32.66206229,-136.4781947,-198.6465167,-146.3295796,-249.926119,-217.3722434,-270.2523513,-237.3415225,-255.6762094,-333.5191126,-298.4651964,-257.8754592,-256.2824476,-275.2327087,666.7374191,-327.0421786,-241.7701325,-176.186234,-450.6955564,-466.5202513,-337.4898513,-344.1048481,,,,,,,
Bermuda,BMU,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,63.00507109,62.72866015,69.18653598,64.44074164,,76.40928299,,75.32915159,77.12559571,,68.12365767,327.5777295,363.9978021,545.0745084,477.7952099,257.2021493,134.6103429,97.21944407,134.2283517,142.1171183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,140601.4243,98908.32246,119635.9949,100003.3259,107025.912,120666.497,139344.0611,107639.841,129766.4781,137121.7473,146029.3646,132456.3263,139672.8314,142348.239,112195.348,118432.7214,125794.6922,153379.5208,128733.747,129958.8121,-690.9899902,-833.1619873,-288.1890259,-517.9438477,70.90014648,54.88604736,112.302002,-438.0130615,102.638916,-103.6970825,-152.6350098,265.2781372,111.3248291,254.2570801,-76.8001709,-137.1175537,162.0783081,119.9208984,43.82489014,176.4260254,53.9119873,208.3613281,524.1090088,1600.162231,1762.258057,1614.367065,2436.271851,,,,,,,
Brazil,BRA,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,842173.4766,594544.5867,720044.1873,603518.1247,645415.7947,728692.0736,841514.5993,653738.6917,787376.8376,831776.0124,885050.4246,805651.2929,849106.0077,866006.8797,687466.5235,727147.3092,770917.3626,933248.6989,792279.2159,800860.0024,-13684.25391,-13521.77148,-12851.24121,-14610.97461,-14700.13672,-14670.88086,-15427.74219,-15411.36133,-15374.0293,-13747.58203,-17469.76953,-14040.26172,-15856.38672,-17547.42188,-17984.80469,-16294.97266,-19018.04297,-16734.85156,-15346.89844,-10642.39844,-14040.21094,-12347.65234,7323.027344,10895.32422,10504.25391,-4786.492188,-12454.91406,,,,,,,
Barbados,BRB,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,57.7564089,57.13409131,54.90191472,56.2406956,51.88490165,50.15985699,56.93174978,60.50795878,74.74507104,79.45026087,81.94945816,300.8776217,317.1093312,448.9852573,395.6518242,302.4465943,196.8842398,102.2880052,73.94496384,47.0300267,27.96957016,-32.95928574,170.1609764,81.33809662,156.1475563,173.4501152,159.8879089,181.6774254,206.6868973,208.2356186,54.42920685,138.5859833,213.7230148,205.5709915,189.9422188,251.4085083,330.4000854,307.5397873,633.6395988,3457.067997,382.854805,397.388916,974.3396988,126.5848999,-70.24672318,-122.9513931,-101.4472923,,,,,,,
